dispatching_base_number,date,active_vehicles,trips
B02765,2/4/15,309,2334
B02512,2/4/15,244,1639
B02682,2/4/15,1311,11309
B02617,2/4/15,1393,11959
B02598,2/4/15,1072,9600
B02617,2/5/15,1524,14499
B02682,2/5/15,1418,13782
B02598,2/5/15,1179,11609
B02512,2/5/15,264,2022
B02765,2/5/15,355,3011
B02764,2/5/15,4093,35990
B02617,2/6/15,1526,15417
B02765,2/6/15,385,3569
B02598,2/6/15,1181,11897
B02512,2/6/15,261,1989
B02764,2/6/15,4170,38693
B02682,2/6/15,1414,14375
B02598,2/7/15,1031,10512
B02512,2/7/15,211,1504
B02617,2/7/15,1383,13688
B02682,2/7/15,1300,13450
B02764,2/7/15,3849,38530
B02765,2/7/15,345,3473
B02764,2/8/15,3422,29692
B02765,2/8/15,313,2623
B02598,2/8/15,923,8129
B02617,2/8/15,1256,11004
B02682,2/8/15,1136,10356
B02512,2/8/15,176,1196
B02617,2/9/15,1312,10887
B02682,2/9/15,1241,10209
B02598,2/9/15,976,8135
B02764,2/9/15,3543,28266
B02512,2/9/15,228,1565
B02765,2/9/15,388,2894
B02764,2/10/15,3700,29124
B02512,2/10/15,233,1555
B02617,2/10/15,1364,11401
B02765,2/10/15,422,3432
B02682,2/10/15,1281,10536
B02598,2/10/15,1029,8718
B02617,2/11/15,1450,12749
B02764,2/11/15,3849,31889
B02512,2/11/15,255,1831
B02598,2/11/15,1115,10034
B02765,2/11/15,450,3778
B02682,2/11/15,1396,12189
B02617,2/12/15,1532,14263
B02512,2/12/15,269,2092
B02682,2/12/15,1468,13786
B02765,2/12/15,536,4609
B02598,2/12/15,1181,11640
B02764,2/12/15,4137,36844
B02617,2/13/15,1590,16996
B02682,2/13/15,1523,16088
B02764,2/13/15,4395,43561
B02765,2/13/15,599,5909
B02512,2/13/15,281,2408
B02598,2/13/15,1216,13062
B02764,2/14/15,4129,45858
B02512,2/14/15,236,2055
B02598,2/14/15,1111,12678
B02765,2/14/15,583,6307
B02617,2/14/15,1486,16999
B02682,2/14/15,1428,16448
B02682,2/15/15,1261,14517
B02764,2/15/15,3651,41209
B02617,2/15/15,1293,14662
B02765,2/15/15,521,5500
B02512,2/15/15,210,1996
B02598,2/15/15,1003,11517
B02598,2/16/15,934,9052
B02512,2/16/15,207,1576
B02617,2/16/15,1214,11824
B02764,2/16/15,3524,33448
B02682,2/16/15,1164,11323
B02765,2/16/15,508,4875
B02764,2/17/15,3826,32473
B02512,2/17/15,241,1797
B02682,2/17/15,1314,11887
B02617,2/17/15,1378,12524
B02598,2/17/15,1066,9463
B02765,2/17/15,578,4907
B02598,2/18/15,1078,9538
B02682,2/18/15,1314,11724
B02617,2/18/15,1394,12016
B02765,2/18/15,586,5059
B02764,2/18/15,3842,32317
B02512,2/18/15,228,1589
B02598,2/19/15,1127,11739
B02512,2/19/15,250,2120
B02682,2/19/15,1428,14591
B02764,2/19/15,4110,39110
B02765,2/19/15,663,6447
B02617,2/19/15,1452,14750
B02764,2/20/15,4384,44755
B02617,2/20/15,1574,16856
B02598,2/20/15,1186,12758
B02682,2/20/15,1497,16342
B02765,2/20/15,736,7824
B02512,2/20/15,272,2380
B02598,2/21/15,1044,12132
B02682,2/21/15,1374,16149
B02765,2/21/15,685,7658
B02617,2/21/15,1443,16098
B02512,2/21/15,238,2149
B02764,2/21/15,3981,44194
B02512,2/22/15,199,1312
B02617,2/22/15,1248,10696
B02682,2/22/15,1220,10970
B02764,2/22/15,3478,30157
B02598,2/22/15,909,8271
B02765,2/22/15,566,5034
B02598,2/23/15,966,8943
B02617,2/23/15,1332,11720
B02764,2/23/15,3734,31173
B02682,2/23/15,1262,11714
B02765,2/23/15,665,5823
B02512,2/23/15,238,1844
B02764,2/24/15,3965,34686
B02512,2/24/15,247,1869
B02598,2/24/15,1061,9954
B02682,2/24/15,1346,12497
B02617,2/24/15,1456,13719
B02765,2/24/15,698,6390
B02512,2/25/15,246,1647
B02598,2/25/15,1076,9405
B02765,2/25/15,706,6178
B02682,2/25/15,1395,12693
B02617,2/25/15,1473,12811
B02764,2/25/15,3934,31957
B02598,2/26/15,1134,10661
B02617,2/26/15,1539,14461
B02682,2/26/15,1465,13814
B02512,2/26/15,243,1797
B02765,2/26/15,745,6744
B02764,2/26/15,4101,36091
B02765,2/27/15,786,7563
B02617,2/27/15,1551,14677
B02598,2/27/15,1114,10755
B02512,2/27/15,272,2056
B02764,2/27/15,4253,38780
B02682,2/27/15,1510,14975
B02598,2/28/15,994,10319
B02764,2/28/15,3952,39812
B02617,2/28/15,1372,14022
B02682,2/28/15,1386,14472
B02512,2/28/15,230,1803
B02765,2/28/15,747,7753
